      {16}	       {3}	25.2	59.4
 {16,3,19}	       {8}	5.6	100.0
 {16,8,19}	       {3}	5.6	66.7
  {16,8,3}	      {19}	5.6	23.3
  {3,8,19}	      {16}	5.6	90.3
      {16}	      {17}	13.0	30.7
      {17}	      {16}	13.0	54.6
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {17}	       {3}	7.6	31.9
       {3}	      {17}	7.6	25.3
       {8}	      {17}	12.0	26.5
      {17}	       {8}	12.0	50.4
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {16}	    {17,3}	6.2	14.6
      {17}	    {16,3}	6.2	26.1
       {3}	   {16,17}	6.2	20.7
   {16,17}	       {3}	6.2	47.7
    {16,3}	      {17}	6.2	24.6
    {17,3}	      {16}	6.2	81.6
      {16}	    {8,17}	8.8	20.8
      {17}	    {16,8}	8.8	37.0
       {8}	   {16,17}	8.8	19.5
   {16,17}	       {8}	8.8	67.7
    {16,8}	      {17}	8.8	29.1
    {8,17}	      {16}	8.8	73.3
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
       {8}	    {17,3}	6.8	15.0
      {17}	     {8,3}	6.8	28.6
       {3}	    {8,17}	6.8	22.7
    {8,17}	       {3}	6.8	56.7
     {8,3}	      {17}	6.8	26.4
    {17,3}	       {8}	6.8	89.5
      {16}	  {8,17,3}	5.8	13.7
      {17}	  {16,8,3}	5.8	24.4
       {3}	 {16,17,8}	5.8	19.3
       {8}	 {16,17,3}	5.8	12.8
   {16,17}	     {8,3}	5.8	44.6
    {16,3}	    {8,17}	5.8	23.0
    {16,8}	    {17,3}	5.8	19.2
    {17,3}	    {16,8}	5.8	76.3
    {8,17}	    {16,3}	5.8	48.3
     {8,3}	   {16,17}	5.8	22.5
 {16,17,3}	       {8}	5.8	93.5
 {16,17,8}	       {3}	5.8	65.9
  {16,8,3}	      {17}	5.8	24.2
  {8,17,3}	      {16}	5.8	85.3
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {10}	13.4	31.6
      {10}	      {16}	13.4	46.2
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
      {10}	       {3}	8.4	29.0
       {3}	      {10}	8.4	28.0
       {8}	      {10}	13.4	29.6
      {10}	       {8}	13.4	46.2
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {10,3}	7.4	17.5
      {10}	    {16,3}	7.4	25.5
       {3}	   {16,10}	7.4	24.7
   {16,10}	       {3}	7.4	55.2
    {16,3}	      {10}	7.4	29.4
    {10,3}	      {16}	7.4	88.1
      {16}	    {8,10}	8.6	20.3
       {8}	   {16,10}	8.6	19.0
      {10}	    {16,8}	8.6	29.7
    {16,8}	      {10}	8.6	28.5
   {16,10}	       {8}	8.6	64.2
    {8,10}	      {16}	8.6	64.2
       {8}	    {10,3}	7.6	16.8
      {10}	     {8,3}	7.6	26.2
       {3}	    {8,10}	7.6	25.3
    {8,10}	       {3}	7.6	56.7
     {8,3}	      {10}	7.6	29.5
    {10,3}	       {8}	7.6	90.5
      {16}	  {8,10,3}	7.0	16.5
       {8}	 {16,10,3}	7.0	15.5
      {10}	  {16,8,3}	7.0	24.1
       {3}	 {16,8,10}	7.0	23.3
    {16,8}	    {10,3}	7.0	23.2
   {16,10}	     {8,3}	7.0	52.2
    {16,3}	    {8,10}	7.0	27.8
    {8,10}	    {16,3}	7.0	52.2
     {8,3}	   {16,10}	7.0	27.1
    {10,3}	    {16,8}	7.0	83.3
 {16,8,10}	       {3}	7.0	81.4
  {16,8,3}	      {10}	7.0	29.2
 {16,10,3}	       {8}	7.0	94.6
  {8,10,3}	      {16}	7.0	92.1
